product_id;product_name;price;category_name;department_name;created_at;updated_at
1;Quest Q64 10 FT. x 10 FT. Slant Leg Instant U;59.98;Soccer;Fitness;01/01/2025;01/01/2025
2;Under Armour Men's Highlight MC Football Clea;129.99;Soccer;Fitness;01/01/2025;01/01/2025
3;Under Armour Men's Renegade D Mid Football Cl;89.99;Soccer;Fitness;01/01/2025;01/01/2025
4;Under Armour Men's Renegade D Mid Football Cl;89.99;Soccer;Fitness;01/01/2025;01/01/2025
5;Riddell Youth Revolution Speed Custom Footbal;199.99;Soccer;Fitness;01/01/2025;01/01/2025
6;Jordan Men's VI Retro TD Football Cleat;134.99;Soccer;Fitness;01/01/2025;01/01/2025
7;Schutt Youth Recruit Hybrid Custom Football H;99.99;Soccer;Fitness;01/01/2025;01/01/2025
8;Nike Men's Vapor Carbon Elite TD Football Cle;129.99;Soccer;Fitness;01/01/2025;01/01/2025
9;Nike Adult Vapor Jet 3.0 Receiver Gloves;50;Soccer;Fitness;01/01/2025;01/01/2025
10;Under Armour Men's Highlight MC Football Clea;129.99;Soccer;Fitness;01/01/2025;01/01/2025
11;Fitness Gear 300 lb Olympic Weight Set;209.99;Soccer;Fitness;01/01/2025;01/01/2025
12;Under Armour Men's Highlight MC Alter Ego Fla;139.99;Soccer;Fitness;01/01/2025;01/01/2025
13;Under Armour Men's Renegade D Mid Football Cl;89.99;Soccer;Fitness;01/01/2025;01/01/2025
14;Quik Shade Summit SX170 10 FT. x 10 FT. Canop;199.99;Soccer;Fitness;01/01/2025;01/01/2025
15;Under Armour Kids' Highlight RM Alter Ego Sup;59.99;Soccer;Fitness;01/01/2025;01/01/2025
16;Riddell Youth 360 Custom Football Helmet;299.99;Soccer;Fitness;01/01/2025;01/01/2025
17;Under Armour Men's Highlight MC Football Clea;129.99;Soccer;Fitness;01/01/2025;01/01/2025
18;Reebok Men's Full Zip Training Jacket;29.97;Soccer;Fitness;01/01/2025;01/01/2025
19;Nike Men's Fingertrap Max Training Shoe;124.99;Soccer;Fitness;01/01/2025;01/01/2025
20;Under Armour Men's Highlight MC Football Clea;129.99;Soccer;Fitness;01/01/2025;01/01/2025
21;Under Armour Kids' Highlight RM Football Clea;54.99;Soccer;Fitness;01/01/2025;01/01/2025
22;Kijaro Dual Lock Chair;29.99;Soccer;Fitness;01/01/2025;01/01/2025
23;Under Armour Men's Highlight MC Alter Ego Hul;139.99;Soccer;Fitness;01/01/2025;01/01/2025
24;Elevation Training Mask 2.0;79.99;Soccer;Fitness;01/01/2025;01/01/2025
25;Quest Q64 10 FT. x 10 FT. Slant Leg Instant U;59.98;Baseball & Softball;Fitness;01/01/2025;01/01/2025
26;Nike Men's USA White Home Stadium Soccer Jers;90;Baseball & Softball;Fitness;01/01/2025;01/01/2025
27;Nike Youth USA Away Stadium Replica Soccer Je;75;Baseball & Softball;Fitness;01/01/2025;01/01/2025
28;adidas Brazuca 2014 Top Glider Soccer Ball;29.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
29;Nike Men's USA Away Stadium Replica Soccer Je;90;Baseball & Softball;Fitness;01/01/2025;01/01/2025
30;adidas Men's Germany Home Soccer Jersey;90;Baseball & Softball;Fitness;01/01/2025;01/01/2025
31;Nike+ Fuelband SE;99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
32;PUMA Men's evoPOWER 1 Tricks FG Soccer Cleat;189.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
33;adidas Brazuca 2014 Top Repliqué Soccer Ball;39.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
34;"Nike Women's Pro Core 3"" Compression Shorts";28;Baseball & Softball;Fitness;01/01/2025;01/01/2025
35;adidas Brazuca 2014 Official Match Ball;159.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
36;adidas Men's Germany Black/Red Away Match Soc;90;Baseball & Softball;Fitness;01/01/2025;01/01/2025
37;adidas Kids' F5 Messi FG Soccer Cleat;34.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
38;Nike Men's Hypervenom Phantom Premium FG Socc;0;Baseball & Softball;Fitness;01/01/2025;01/01/2025
39;Nike Women's Pro Victory Compression Bra;21.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
40;Quik Shade Summit SX170 10 FT. x 10 FT. Canop;199.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
41;adidas Men's Mexico Home Soccer Jersey;90;Baseball & Softball;Fitness;01/01/2025;01/01/2025
42;adidas Kids' F10 Messi TRX FG Soccer Cleat;44.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
43;Kijaro Dual Lock Chair;29.99;Baseball & Softball;Fitness;01/01/2025;01/01/2025
