sales_id,created_at,end_at,status,product_id,customer_id,quantity,sales_subtotal,updated_at,medio_de_pago,bank_origin
847,03/12/2025 10:30,03/12/2025 10:30,created,379,63,1,129.99,03/12/2025 10:30,digital,pLin
1153,03/12/2025 19:31,03/12/2025 19:31,created,1014,87,5,249.9,03/12/2025 19:31,efectivo,efectivo
1521,03/12/2025 12:16,03/12/2025 12:16,created,191,114,5,499.95,03/12/2025 12:16,Transferencia bancaria,bcp
1549,03/12/2025 11:46,03/12/2025 11:46,created,1014,119,2,99.96,03/12/2025 11:46,efectivo,efectivo
2201,03/12/2025 2:56,03/12/2025 2:56,created,1004,173,1,399.98,03/12/2025 2:56,efectivo,efectivo
2712,03/12/2025 18:26,03/12/2025 18:26,created,478,207,4,200.0,03/12/2025 18:26,efectivo,efectivo
2941,03/12/2025 21:07,03/12/2025 21:07,created,341,222,2,119.98,03/12/2025 21:07,Transferencia bancaria,pichincha
4316,03/12/2025 5:25,03/12/2025 5:25,created,379,321,1,129.99,03/12/2025 5:25,Transferencia bancaria,PichinchA
4643,03/12/2025 3:32,03/12/2025 3:32,created,341,342,2,119.98,03/12/2025 3:32,Transferencia bancaria,BcP
4681,03/12/2025 20:25,03/12/2025 20:25,created,478,345,5,250.0,03/12/2025 20:25,efectivo,efectivo
4950,03/12/2025 20:43,03/12/2025 20:43,created,341,364,3,179.97,03/12/2025 20:43,efectivo,efectivo
5266,03/12/2025 4:25,03/12/2025 4:25,created,341,384,2,119.98,03/12/2025 4:25,digital,yapE
5411,03/12/2025 9:25,03/12/2025 9:25,created,1014,396,3,149.94,03/12/2025 9:25,Transferencia bancaria,BBVA   
5440,03/12/2025 13:58,03/12/2025 13:58,created,957,397,1,299.98,03/12/2025 13:58,Transferencia bancaria,IntERBANK 
5559,03/12/2025 21:09,03/12/2025 21:09,created,1014,408,2,99.96,03/12/2025 21:09,digital,yapE
5774,03/12/2025 14:27,03/12/2025 14:27,created,478,425,1,50.0,03/12/2025 14:27,efectivo,efectivo
5896,03/12/2025 16:14,03/12/2025 16:14,created,1014,434,5,249.9,03/12/2025 16:14,Transferencia bancaria, Scotiabank
6200,03/12/2025 7:06,03/12/2025 7:06,created,341,450,2,119.98,03/12/2025 7:06,digital,PliN
6441,03/12/2025 7:11,03/12/2025 7:11,created,379,466,1,129.99,03/12/2025 7:11,efectivo,efectivo
7008,03/12/2025 19:06,03/12/2025 19:06,created,191,505,3,299.97,03/12/2025 19:06,efectivo,efectivo
