sales_id,created_at,end_at,status,product_id,customer_id,quantity,sales_subtotal,updated_at,medio_de_pago,bank_origin
268,04/02/2026 1:26,04/02/2026 1:26,created,341,19,3,179.97,04/02/2026 1:26,digital,yapE
285,04/02/2026 14:28,04/02/2026 14:28,created,882,21,3,74.97,04/02/2026 14:28,Transferencia bancaria,pichincha
1593,04/02/2026 3:01,04/02/2026 3:01,created,379,122,1,129.99,04/02/2026 3:01,digital,PliN
1975,04/02/2026 8:53,04/02/2026 8:53,created,379,154,1,129.99,04/02/2026 8:53,Transferencia bancaria,BBVA   
2316,04/02/2026 6:46,04/02/2026 6:46,created,579,181,3,119.97,04/02/2026 6:46,efectivo,efectivo
2407,04/02/2026 2:29,04/02/2026 2:29,created,1073,188,1,199.99,04/02/2026 2:29,efectivo,efectivo
3681,04/02/2026 0:59,04/02/2026 0:59,created,379,274,1,129.99,04/02/2026 0:59,efectivo,efectivo
3867,04/02/2026 17:16,04/02/2026 17:16,created,1014,288,2,99.96,04/02/2026 17:16,digital,YAPe
4393,04/02/2026 0:04,04/02/2026 0:04,created,579,327,2,79.98,04/02/2026 0:04,Transferencia bancaria,bcp
4494,04/02/2026 10:54,04/02/2026 10:54,created,1004,333,1,399.98,04/02/2026 10:54,digital,PliN
4861,04/02/2026 14:17,04/02/2026 14:17,created,1004,358,1,399.98,04/02/2026 14:17,Transferencia bancaria,SCOTIABANK
5261,04/02/2026 10:54,04/02/2026 10:54,created,478,384,5,250.0,04/02/2026 10:54,Transferencia bancaria, BCP   
5419,04/02/2026 20:48,04/02/2026 20:48,created,957,396,1,299.98,04/02/2026 20:48,efectivo,efectivo
5583,04/02/2026 23:10,04/02/2026 23:10,created,1014,409,4,199.92,04/02/2026 23:10,efectivo,efectivo
6921,04/02/2026 8:23,04/02/2026 8:23,created,1014,500,4,199.92,04/02/2026 8:23,Transferencia bancaria, BCP   
7497,04/02/2026 20:35,04/02/2026 20:35,created,1004,542,1,399.98,04/02/2026 20:35,efectivo,efectivo
7893,04/02/2026 21:28,04/02/2026 21:28,created,379,568,1,129.99,04/02/2026 21:28,Transferencia bancaria,SCOTIABANK
7917,04/02/2026 14:10,04/02/2026 14:10,created,379,569,1,129.99,04/02/2026 14:10,efectivo,efectivo
8103,04/02/2026 12:23,04/02/2026 12:23,created,1004,585,1,399.98,04/02/2026 12:23,efectivo,efectivo
8500,04/02/2026 6:42,04/02/2026 6:42,created,478,616,1,50.0,04/02/2026 6:42,Transferencia bancaria,IntERBANK 
9059,04/02/2026 23:04,04/02/2026 23:04,created,1004,653,1,399.98,04/02/2026 23:04,efectivo,efectivo
9242,04/02/2026 21:26,04/02/2026 21:26,created,478,669,5,250.0,04/02/2026 21:26,efectivo,efectivo
10729,04/02/2026 1:21,04/02/2026 1:21,created,1004,771,1,399.98,04/02/2026 1:21,digital,PliN
10983,04/02/2026 7:39,04/02/2026 7:39,created,1004,791,1,399.98,04/02/2026 7:39,efectivo,efectivo
12678,04/02/2026 6:53,08/02/2026 18:37,finalized,172,917,1,30.0,08/02/2026 18:37,efectivo,efectivo
13328,04/02/2026 6:18,11/02/2026 16:04,finalized,1073,963,1,199.99,11/02/2026 16:04,digital,PliN
14347,04/02/2026 17:08,09/02/2026 8:32,finalized,1073,1034,1,199.99,09/02/2026 8:32,Transferencia bancaria,Scotiabank
15068,04/02/2026 20:39,15/02/2026 1:29,finalized,579,1094,2,79.98,15/02/2026 1:29,Transferencia bancaria, Scotiabank
15379,04/02/2026 10:01,09/02/2026 21:02,finalized,379,1116,1,129.99,09/02/2026 21:02,efectivo,efectivo
15537,04/02/2026 1:16,14/02/2026 8:30,finalized,957,1127,1,299.98,14/02/2026 8:30,digital,pLin
15621,04/02/2026 4:36,10/02/2026 8:16,finalized,957,1134,1,299.98,10/02/2026 8:16,digital,pLin
16762,04/02/2026 13:20,15/02/2026 8:02,finalized,341,1222,2,119.98,15/02/2026 8:02,digital,pLin
17115,04/02/2026 12:41,15/02/2026 5:05,finalized,1004,1250,1,399.98,15/02/2026 5:05,digital,PliN
18042,04/02/2026 16:04,14/02/2026 11:06,finalized,1073,1316,1,199.99,14/02/2026 11:06,digital,YAPe
18868,04/02/2026 3:39,11/02/2026 16:23,finalized,191,1378,3,299.97,11/02/2026 16:23,Transferencia bancaria,Interbank
20268,04/02/2026 7:14,08/02/2026 16:30,finalized,379,1485,1,129.99,08/02/2026 16:30,digital,PliN
20738,04/02/2026 17:26,14/02/2026 19:26,finalized,1014,1515,5,249.9,14/02/2026 19:26,digital,pLin
21177,04/02/2026 13:37,14/02/2026 21:38,finalized,379,1544,1,129.99,14/02/2026 21:38,digital,pLin
22040,04/02/2026 16:46,09/02/2026 10:46,finalized,191,1599,5,499.95,09/02/2026 10:46,Transferencia bancaria, BCP   
22553,04/02/2026 22:34,11/02/2026 13:32,finalized,191,1634,2,199.98,11/02/2026 13:32,efectivo,efectivo
22888,04/02/2026 23:43,14/02/2026 19:22,finalized,341,1657,2,119.98,14/02/2026 19:22,Transferencia bancaria,bbvA
23189,04/02/2026 5:33,07/02/2026 6:49,finalized,341,1681,5,299.95,07/02/2026 6:49,Transferencia bancaria,bbvA
23358,04/02/2026 12:08,14/02/2026 5:53,finalized,478,1693,2,100.0,14/02/2026 5:53,digital,yapE
23798,04/02/2026 4:25,13/02/2026 2:13,finalized,341,1725,4,239.96,13/02/2026 2:13,digital,yapE
24153,04/02/2026 9:47,07/02/2026 15:37,finalized,341,1749,1,59.99,07/02/2026 15:37,efectivo,efectivo
24209,04/02/2026 21:48,12/02/2026 13:01,finalized,341,1753,1,59.99,12/02/2026 13:01,efectivo,efectivo
24260,04/02/2026 5:36,10/02/2026 6:25,finalized,1004,1757,1,399.98,10/02/2026 6:25,Transferencia bancaria,BCP
