sales_id,created_at,end_at,status,product_id,customer_id,quantity,sales_subtotal,updated_at,medio_de_pago,bank_origin
491,23/05/2025 9:16,23/05/2025 9:16,created,1004,38,1,399.98,23/05/2025 9:16,efectivo,efectivo
1052,23/05/2025 15:53,23/05/2025 15:53,created,379,77,1,129.99,23/05/2025 15:53,Transferencia bancaria,BcP
1970,23/05/2025 11:04,23/05/2025 11:04,created,478,154,3,150.0,23/05/2025 11:04,efectivo,efectivo
2105,23/05/2025 8:46,23/05/2025 8:46,created,191,165,5,499.95,23/05/2025 8:46,Transferencia bancaria,bbvA
2107,23/05/2025 16:25,23/05/2025 16:25,created,1073,166,1,199.99,23/05/2025 16:25,Transferencia bancaria,scotiabank
2798,23/05/2025 8:23,23/05/2025 8:23,created,1073,214,1,199.99,23/05/2025 8:23,efectivo,efectivo
3494,23/05/2025 6:56,23/05/2025 6:56,created,957,259,1,299.98,23/05/2025 6:56,digital,yapE
4150,23/05/2025 14:39,23/05/2025 14:39,created,191,310,1,99.99,23/05/2025 14:39,efectivo,efectivo
4192,23/05/2025 12:04,23/05/2025 12:04,created,1073,314,1,199.99,23/05/2025 12:04,digital,pLin
4304,23/05/2025 20:21,23/05/2025 20:21,created,1004,321,1,399.98,23/05/2025 20:21,efectivo,efectivo
4318,23/05/2025 16:40,23/05/2025 16:40,created,379,321,1,129.99,23/05/2025 16:40,digital,PliN
4343,23/05/2025 21:41,23/05/2025 21:41,created,379,324,1,129.99,23/05/2025 21:41,Transferencia bancaria,pichincha
5165,23/05/2025 19:43,23/05/2025 19:43,created,957,378,1,299.98,23/05/2025 19:43,efectivo,efectivo
5186,23/05/2025 19:18,23/05/2025 19:18,created,191,379,3,299.97,23/05/2025 19:18,Transferencia bancaria,pichincha
6450,23/05/2025 17:00,23/05/2025 17:00,created,1004,467,1,399.98,23/05/2025 17:00,Transferencia bancaria,bbvA
6754,23/05/2025 2:01,23/05/2025 2:01,created,379,487,1,129.99,23/05/2025 2:01,digital,PliN
6896,23/05/2025 8:38,23/05/2025 8:38,created,1014,498,4,199.92,23/05/2025 8:38,efectivo,efectivo
7230,23/05/2025 10:49,23/05/2025 10:49,created,1073,522,1,199.99,23/05/2025 10:49,Transferencia bancaria,BBVA   
7296,23/05/2025 14:05,23/05/2025 14:05,created,957,528,1,299.98,23/05/2025 14:05,Transferencia bancaria, BCP   
8426,23/05/2025 4:04,23/05/2025 4:04,created,579,612,3,119.97,23/05/2025 4:04,efectivo,efectivo
8493,23/05/2025 11:45,23/05/2025 11:45,created,957,616,1,299.98,23/05/2025 11:45,digital,YAPe
9256,23/05/2025 2:10,23/05/2025 2:10,created,579,671,5,199.95,23/05/2025 2:10,digital,pLin
9318,23/05/2025 18:56,23/05/2025 18:56,created,1014,675,3,149.94,23/05/2025 18:56,digital,PliN
9520,23/05/2025 0:41,23/05/2025 0:41,created,1004,687,1,399.98,23/05/2025 0:41,Transferencia bancaria,PichinchA
12410,23/05/2025 14:32,31/05/2025 20:24,finalized,341,895,2,119.98,31/05/2025 20:24,Transferencia bancaria,BBVA   
12668,23/05/2025 18:19,01/06/2025 18:07,finalized,618,917,1,109.99,01/06/2025 18:07,digital,yapE
